"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"302";2;5;7;9;10;13;15;17;17
"303";2;5;7;9;10;13;15;17;17
"304";2;5;7;9;10;13;15;17;17
"305";2;5;7;9;10;12;12;12;12
"306";2;5;7;9;10;12;12;12;12
"307";2;5;7;9;10;12;12;12;12
"308";2;5;7;9;10;12;12;12;12
"309";2;5;7;9;10;13;15;17;17
"310";2;5;6;6;6;6;6;6;18
"311";2;5;6;6;6;6;6;6;19
"312";2;5;6;6;6;6;6;6;18
"313";2;5;7;9;10;12;12;12;12
"314";2;5;7;9;10;13;15;17;17
"315";2;5;7;9;10;12;12;12;12
"316";2;5;7;9;10;12;12;12;12
"317";2;5;7;9;10;12;12;12;12
"318";2;5;6;6;6;6;6;6;18
"319";2;5;7;9;10;12;12;12;12
"320";2;5;6;6;6;6;6;6;18
"321";2;5;7;9;10;12;12;12;12
"322";2;5;7;9;10;13;15;17;17
"323";2;5;6;6;6;6;6;6;18
"324";2;5;6;6;6;6;6;6;18
"325";2;5;6;6;6;6;6;6;18
"326";2;5;6;6;6;6;6;6;18
"327";2;5;6;6;6;6;6;6;18
"328";2;5;6;6;6;6;6;6;18
"329";2;5;7;9;10;13;15;17;17
"330";2;5;6;6;6;6;6;6;18
"331";2;5;7;9;10;13;15;17;17
"332";2;5;7;9;10;12;12;12;12
"333";2;5;7;9;10;12;12;12;12
"334";2;5;7;9;10;13;15;17;17
"335";2;5;7;9;10;13;15;17;17
"336";2;5;7;9;10;13;15;17;17
"337";2;5;7;9;10;13;15;17;17
"338";2;5;7;9;10;13;15;17;17
"339";2;5;7;9;10;12;12;12;12
"340";2;5;6;6;6;6;6;6;18
"341";2;5;6;6;6;6;6;6;18
"342";2;5;7;9;10;13;15;17;17
"343";2;5;6;6;6;6;6;6;18
"344";2;5;7;9;10;13;15;16;16
"345";2;5;6;6;6;6;6;6;18
"346";2;5;6;6;6;6;6;6;18
"347";2;5;6;6;6;6;6;6;18
"348";2;5;7;9;10;13;15;17;17
"349";2;5;7;9;10;13;15;17;17
"350";2;5;6;6;6;6;6;6;18
"351";2;5;6;6;6;6;6;6;18
"352";2;5;6;6;6;6;6;6;18
"353";2;5;6;6;6;6;6;6;18
"354";2;5;6;6;6;6;6;6;18
"355";2;5;6;6;6;6;6;6;18
"356";2;5;6;6;6;6;6;6;18
"357";2;5;6;6;6;6;6;6;18
"358";2;5;6;6;6;6;6;6;18
"359";2;5;7;9;10;12;12;12;12
"360";2;5;7;9;10;13;15;17;17
"361";2;5;6;6;6;6;6;6;18
"362";2;5;6;6;6;6;6;6;18
"363";2;5;7;9;10;13;15;17;17
"364";2;5;7;9;10;12;12;12;12
"365";2;5;7;9;10;12;12;12;12
"366";2;5;7;9;10;12;12;12;12
"367";2;5;6;6;6;6;6;6;18
"368";2;5;6;6;6;6;6;6;18
"369";2;5;7;9;10;13;15;17;17
"370";2;5;7;9;10;13;15;17;17
"371";2;5;6;6;6;6;6;6;18
"372";2;5;6;6;6;6;6;6;18
"373";2;5;7;9;10;12;12;12;12
"374";2;5;6;6;6;6;6;6;18
"375";2;5;6;6;6;6;6;6;18
"376";2;5;6;6;6;6;6;6;18
"377";2;5;6;6;6;6;6;6;18
"378";2;5;6;6;6;6;6;6;18
"379";2;5;6;6;6;6;6;6;18
"380";2;5;6;6;6;6;6;6;18
"381";2;5;6;6;6;6;6;6;18
"382";2;5;6;6;6;6;6;6;18
"383";2;5;6;6;6;6;6;6;18
"384";2;5;6;6;6;6;6;6;18
"385";2;5;6;6;6;6;6;6;18
"386";2;5;6;6;6;6;6;6;18
"387";2;5;6;6;6;6;6;6;18
"388";2;5;6;6;6;6;6;6;18
"389";2;5;6;6;6;6;6;6;18
"390";2;5;6;6;6;6;6;6;18
"391";2;5;6;6;6;6;6;6;19
"392";2;5;6;6;6;6;6;6;18
"393";2;5;7;9;10;13;15;17;17
"394";2;5;7;9;10;12;12;12;12
"395";2;5;7;9;10;13;15;17;17
"396";2;5;6;6;6;6;6;6;18
"397";2;5;6;6;6;6;6;6;18
"398";2;5;6;6;6;6;6;6;18
"399";2;5;6;6;6;6;6;6;18
"400";2;5;7;9;10;13;15;17;17
"401";2;5;7;9;10;13;15;17;17
"402";2;5;7;9;10;13;15;17;17
"403";2;5;7;9;10;13;15;17;17
"404";2;5;7;9;10;13;15;17;17
"405";2;5;7;9;10;13;15;17;17
"406";2;5;7;9;10;13;15;17;17
"407";2;5;7;9;10;13;15;17;17
"408";2;5;7;9;10;13;15;17;17
"409";2;5;7;9;10;13;15;17;17
"410";2;5;7;9;10;13;15;17;17
"411";2;5;7;9;10;13;15;17;17
"412";2;5;7;9;10;13;15;17;17
"413";2;5;7;9;10;13;15;17;17
"414";2;5;7;9;10;13;15;17;17
"415";2;5;7;9;10;12;12;12;12
"416";2;5;7;9;10;13;15;16;16
"417";2;5;7;9;10;13;15;17;17
"418";2;5;7;9;10;12;12;12;12
"419";2;5;7;9;10;13;15;17;17
"420";2;5;7;9;10;13;15;17;17
"421";2;5;7;9;10;13;15;16;16
"422";2;5;7;9;10;12;12;12;12
"423";2;5;7;9;10;13;15;17;17
"424";2;5;7;9;10;13;15;17;17
"425";2;5;7;9;10;13;15;17;17
"426";2;5;7;9;10;12;12;12;12
"427";2;5;7;9;10;13;15;17;17
"428";2;5;7;9;10;13;15;17;17
"429";2;5;7;9;10;12;12;12;12
"430";2;5;7;9;10;12;12;12;12
"431";2;5;7;9;10;13;15;17;17
"432";2;5;7;9;10;13;15;17;17
"433";2;5;7;9;10;13;15;17;17
"434";2;5;7;9;10;13;15;17;17
"435";2;5;7;9;10;13;15;16;16
"436";2;5;7;9;10;13;15;17;17
"437";2;5;7;9;10;13;15;17;17
"438";2;5;7;9;10;12;12;12;12
"439";2;5;7;9;10;12;12;12;12
"440";2;5;7;9;10;12;12;12;12
"441";2;5;7;9;10;12;12;12;12
"442";2;5;7;9;10;13;15;17;17
"443";2;5;7;9;10;13;15;17;17
"444";2;5;7;9;10;13;15;17;17
"445";2;5;7;9;10;13;15;17;17
"446";2;5;7;9;10;13;15;17;17
"447";2;5;7;9;10;13;15;17;17
"448";2;5;7;9;10;13;15;17;17
"449";2;5;7;9;10;13;15;17;17
"450";2;5;7;9;10;12;12;12;12
"451";2;5;7;9;10;13;15;17;17
"452";2;5;7;9;10;13;15;17;17
"453";2;5;7;9;11;11;11;11;11
"454";2;5;7;9;11;11;11;11;11
"455";2;5;7;9;10;13;15;16;16
"456";2;5;7;9;11;11;11;11;11
"457";2;5;7;9;11;11;11;11;11
"458";2;5;7;9;11;11;11;11;11
"459";2;5;7;9;11;11;11;11;11
"460";2;5;7;9;11;11;11;11;11
"461";2;5;7;9;11;11;11;11;11
"462";2;5;7;9;11;11;11;11;11
"463";2;5;7;9;11;11;11;11;11
"464";2;5;7;9;11;11;11;11;11
"465";2;5;7;9;10;12;12;12;12
"466";2;5;7;9;11;11;11;11;11
"467";2;5;7;9;11;11;11;11;11
"468";2;5;7;9;10;13;15;16;16
"469";2;5;7;9;10;13;15;16;16
"470";2;5;7;9;10;13;15;16;16
"471";2;5;7;9;10;13;15;16;16
"472";2;5;7;9;10;13;15;16;16
"473";2;5;7;9;10;13;15;16;16
"474";2;5;7;9;10;13;15;16;16
"475";2;5;7;9;10;13;15;16;16
"476";2;5;7;9;10;13;15;16;16
"477";2;5;7;9;10;13;15;16;16
"478";2;5;7;9;10;13;15;16;16
"479";2;5;7;9;10;13;15;16;16
"480";2;5;7;9;10;13;15;16;16
"481";2;5;7;9;10;13;15;16;16
"482";2;5;7;9;10;13;15;16;16
"483";2;5;7;9;10;13;15;16;16
"484";2;5;7;9;10;13;15;16;16
"485";2;5;7;9;10;13;15;16;16
"486";2;5;7;9;10;13;15;16;16
"487";2;5;7;9;10;13;15;16;16
"488";2;5;7;9;10;13;15;17;17
"489";2;5;7;9;10;12;12;12;12
"490";2;5;7;9;10;13;15;16;16
"491";2;5;7;9;10;13;15;16;16
"492";2;5;7;9;10;13;15;16;16
"493";2;5;7;9;10;12;12;12;12
"494";2;5;7;9;10;13;15;16;16
"495";2;5;7;9;10;13;15;16;16
"496";2;5;7;9;10;13;15;17;17
"497";2;5;7;9;10;13;15;17;17
"498";2;5;6;6;6;6;6;6;18
"499";2;5;6;6;6;6;6;6;18
"500";2;5;7;9;10;12;12;12;12
"501";2;5;7;9;10;12;12;12;12
"502";2;5;7;9;10;12;12;12;12
"503";2;5;7;9;10;13;15;17;17
"504";2;5;7;9;10;12;12;12;12
"505";2;5;7;9;10;12;12;12;12
"506";2;5;7;9;10;12;12;12;12
"507";2;5;7;9;10;13;15;17;17
"508";2;5;7;9;10;13;15;17;17
"509";2;5;7;9;10;13;15;17;17
"510";2;5;7;9;10;13;15;17;17
"511";2;5;7;9;10;12;12;12;12
"512";2;5;6;6;6;6;6;6;18
"513";2;5;6;6;6;6;6;6;18
"514";2;5;7;9;10;13;15;17;17
"515";2;5;7;9;10;13;15;17;17
"516";2;5;6;6;6;6;6;6;18
"517";2;5;6;6;6;6;6;6;18
"518";2;5;6;6;6;6;6;6;18
"519";2;5;6;6;6;6;6;6;18
"520";2;5;6;6;6;6;6;6;18
"521";2;5;7;9;10;13;15;17;17
"522";2;5;7;9;10;13;15;17;17
"523";2;5;6;6;6;6;6;6;18
"524";2;5;6;6;6;6;6;6;18
"525";2;5;7;8;8;8;8;8;8
