"";"Coord. facteur 1";"Coord. facteur 2";"Corr. facteur 1";"Corr. facteur 2";"COR -facteur 1";"COR -facteur 2";"CTR -facteur 1";"CTR -facteur 2";"mass";"chi.distance";"inertie"
"three";0,365712971253784;-0,800472903352483;0,415555328305122;-0,909567902422476;NA;NA;NA;NA;NA;0,494339289925609;NA
"that_s";0,401057618882507;-0,36943707227034;0,735506815713256;-0,677517323792792;NA;NA;NA;NA;NA;0,324460807576067;NA
"sent";1,53344246961922;-1,77740690897551;0,653231637813854;-0,757158125730042;NA;NA;NA;NA;NA;1,37303469526678;NA
"next";1,238451697174;-0,302333357548787;0,971471205805706;-0,237157534753607;NA;NA;NA;NA;NA;0,802451894254908;NA
"known";0,633516178530914;0,291496041793207;0,908447656024451;0,417998631892117;NA;NA;NA;NA;NA;0,432039130601936;NA
"given";-0,436336459408988;-0,436540786991893;-0,70694123863567;-0,707272284990911;NA;NA;NA;NA;NA;0,365022160183561;NA
"doing";-0,653297781747501;-1,0534116934512;-0,527046033552016;-0,849836736389459;NA;NA;NA;NA;NA;0,708299882862855;NA
"com";1,35644800615209;-0,892362778119477;0,835427609325733;-0,549600499978202;NA;NA;NA;NA;NA;0,98829252099195;NA
"can_t";0,450540125562721;0,23401309124466;0,887432594450188;0,460937512367357;NA;NA;NA;NA;NA;0,312908287368007;NA
"becoming";-1,00728670868176;0,716676568260865;-0,814808672847869;0,579729960112374;NA;NA;NA;NA;NA;0,748843859474594;NA
"among";0,450540125562721;0,23401309124466;0,887432594450188;0,460937512367357;NA;NA;NA;NA;NA;0,312908287368007;NA
"although";-0,583831845631596;0,300995988721469;-0,888829401174794;0,458238252012267;NA;NA;NA;NA;NA;0,404982935896566;NA
